total_pop,PLACEFP,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct
3890.0,02700,454.0,16.0,0.0,69.0,223.0,2971.0,157.0,3436.0,,,,,,0.7637532133676093,,0.8832904884318766
2482.0,02770,2109.0,95.0,0.0,0.0,36.0,182.0,60.0,373.0,0.8497179693795326,,,,,,,
3245.0,02812,1630.0,0.0,0.0,12.0,0.0,1383.0,220.0,1615.0,0.50231124807396,,,,,,,0.49768875192604006
18372.0,02868,12440.0,35.0,0.0,49.0,694.0,3851.0,1303.0,5932.0,0.677117352492924,,,,0.03777487480949271,0.20961245373394297,0.07092314391465274,0.32288264750707596
15889.0,02896,2089.0,0.0,621.0,827.0,6859.0,5261.0,232.0,13800.0,0.1314746050726918,,,,0.4316822959280005,0.33110957266033103,,0.8685253949273082
336.0,02910,75.0,0.0,0.0,0.0,0.0,261.0,0.0,261.0,,,,,,0.7767857142857143,,0.7767857142857143
19539.0,02924,562.0,11.0,0.0,282.0,18.0,18486.0,180.0,18977.0,0.02876298684681918,,,,,0.9461077844311377,,0.9712370131531808
22210.0,02980,2464.0,113.0,247.0,4174.0,4637.0,9689.0,886.0,19746.0,0.11094101755965781,,,0.18793336334984242,0.20877982890589825,0.43624493471409276,0.039891940567312024,0.8890589824403422
325.0,03026,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
29712.0,03064,19656.0,75.0,4.0,234.0,610.0,6692.0,2441.0,10056.0,0.6615508885298869,,,,0.020530425417339796,0.22522886375875067,0.08215535810446957,0.3384491114701131
6993.0,03092,4338.0,3.0,0.0,64.0,1256.0,992.0,340.0,2655.0,0.6203346203346203,,,,0.1796081796081796,0.14185614185614184,0.04862004862004862,0.37966537966537967
32162.0,03162,8408.0,6.0,294.0,975.0,2137.0,19232.0,1110.0,23754.0,0.2614265282009825,,,0.030315278900565887,0.0664448728312916,0.5979727628878801,0.034512779056028856,0.7385734717990174
3240.0,03190,2460.0,172.0,0.0,0.0,3.0,485.0,120.0,780.0,0.7592592592592593,,,,,,,0.24074074074074073
13768.0,03204,10440.0,54.0,14.0,81.0,278.0,1602.0,1299.0,3328.0,0.758280069726903,,,,,0.1163567693201627,,0.24171993027309704
3284.0,03205,2502.0,0.0,0.0,0.0,101.0,528.0,153.0,782.0,0.7618757612667478,,,,,,,0.23812423873325214
8825.0,03209,968.0,19.0,0.0,45.0,33.0,7359.0,401.0,7857.0,0.10968838526912181,,,,,0.8338810198300284,,0.8903116147308782
3338.0,03274,1491.0,1.0,0.0,2.0,4.0,1840.0,0.0,1847.0,0.44667465548232477,,,,,0.5512282804074295,,0.5533253445176752
13608.0,03302,1096.0,66.0,19.0,397.0,131.0,11784.0,115.0,12512.0,0.0805408583186361,,,0.029174015285126396,,0.8659611992945326,,0.9194591416813639
268.0,03316,158.0,15.0,0.0,0.0,0.0,95.0,0.0,110.0,,,,,,,,
1303.0,03330,1123.0,8.0,0.0,0.0,0.0,129.0,43.0,180.0,0.861857252494244,,,,,,,
12593.0,03344,436.0,0.0,7.0,227.0,1195.0,10627.0,101.0,12157.0,0.03462240927499404,,,,0.09489398872389422,0.8438815214801874,,0.965377590725006
49031.0,03386,6745.0,88.0,46.0,1242.0,7364.0,32067.0,1479.0,42286.0,0.13756602965470824,,,0.025330913095796537,0.15019069568232343,0.6540148069588627,0.030164589749342254,0.8624339703452918
339.0,03512,76.0,0.0,0.0,0.0,0.0,263.0,0.0,263.0,,,,,,0.775811209439528,,0.775811209439528
411986.0,03526,113582.0,1555.0,461.0,23536.0,32043.0,225254.0,15555.0,298404.0,0.27569383425650384,0.003774400100974305,0.0011189700620894884,0.05712815484021302,0.07777691474953033,0.5467515886462161,0.03775613734447287,0.7243061657434962
1707.0,03546,1022.0,1.0,0.0,0.0,0.0,512.0,172.0,685.0,0.5987111892208553,,,,,0.29994141769185706,,0.4012888107791447
70138.0,03666,2201.0,123.0,95.0,452.0,15340.0,51148.0,779.0,67937.0,0.03138099175910348,,,,0.21871168268271124,0.7292480538367219,,0.9686190082408965
863.0,03694,702.0,7.0,0.0,0.0,35.0,66.0,53.0,161.0,0.813441483198146,,,,,,,0.186558516801854
447.0,03708,227.0,0.0,0.0,0.0,0.0,220.0,0.0,220.0,,,,,,0.49217002237136465,,0.49217002237136465
597.0,03792,525.0,29.0,0.0,2.0,0.0,41.0,0.0,72.0,0.8793969849246231,,,,,,,
31093.0,03820,10347.0,215.0,9.0,2217.0,1591.0,15738.0,976.0,20746.0,0.3327758659505355,,,0.07130222236516258,0.05116907342488663,0.5061589425272569,,0.6672241340494645
25100.0,04030,5560.0,275.0,32.0,4111.0,725.0,12333.0,2064.0,19540.0,0.22151394422310758,,,0.16378486055776892,,0.49135458167330676,0.08223107569721115,0.7784860557768924
499.0,04198,456.0,0.0,0.0,0.0,0.0,30.0,13.0,43.0,0.9138276553106213,,,,,,,
