PLACEFP,NAME,native_incidents,asian_incidents,black_incidents,hispanic_incidents,pi_incidents,unknown_incidents,white_incidents,total_incidents,poc_incidents,native_incidents_pct,asian_incidents_pct,black_incidents_pct,hispanic_incidents_pct,pi_incidents_pct,unknown_incidents_pct,white_incidents_pct,poc_incidents_pct,total_pop,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct,native_likelihood_vs_white,asian_likelihood_vs_white,black_likelihood_vs_white,hispanic_likelihood_vs_white,pi_likelihood_vs_white,unknown_likelihood_vs_white,poc_likelihood_vs_white
04734,Bear Valley Springs,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5912.0,4770.0,0.0,0.0,19.0,165.0,547.0,411.0,1142.0,0.8068335588633289,,,,,0.0925236806495263,,0.1931664411366711,,,,,,,
04758,Beaumont,0,0,0,0,0,4,3,7,4,0.0,0.0,0.0,0.0,0.0,57.14285714285714,42.857142857142854,57.14285714285714,56266.0,18991.0,255.0,84.0,4585.0,3837.0,26325.0,2189.0,37275.0,0.3375217715849714,,,0.081487932321473,0.0681939359471083,0.4678669178544769,0.0389044893896847,0.6624782284150286,0.0,0.0,0.0,0.0,0.0,11.567534642911527,0.6793114241001564
04870,Bell,0,0,0,2,0,0,0,2,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,32476.0,2248.0,42.0,49.0,597.0,326.0,29049.0,165.0,30228.0,0.0692203473334154,,,,,0.8944759206798867,,0.9307796526665846,,,,,,,
04982,Bellflower,0,0,2,1,0,0,0,3,3,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,100.0,76819.0,10703.0,71.0,123.0,8029.0,8652.0,46387.0,2854.0,66116.0,0.139327510121194,,,0.1045184134133482,0.1126283862065374,0.6038480063525951,0.0371522670172743,0.8606724898788061,,,,,,,
04996,Bell Gardens,0,0,0,2,0,0,0,2,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,38229.0,531.0,0.0,18.0,212.0,212.0,37135.0,121.0,37698.0,,,,,,0.9713829815061864,,0.9861100211881032,,,,,,,
06000,Berkeley,0,0,1,0,0,0,1,2,1,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,120257.0,59992.0,100.0,137.0,9284.0,24473.0,15343.0,10928.0,60265.0,0.498864930939571,,,0.0772013271576706,0.2035058250247386,0.1275850886019109,0.0908720490283309,0.5011350690604289,,,,,,,
06150,Bertsch-Oceanview,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2250.0,1368.0,110.0,0.0,0.0,2.0,524.0,246.0,882.0,0.608,,,,,,,0.392,,,,,,,
06406,Big Bear City,0,0,0,1,0,0,1,2,1,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,11431.0,8328.0,94.0,56.0,45.0,271.0,2034.0,603.0,3103.0,0.7285451841483684,,,,,0.1779371883474761,,0.2714548158516315,,,,,,,
07036,Bloomfield,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,324.0,297.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.9166666666666666,,,,,,,,,,,,,,
07064,Bloomington,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,25698.0,2176.0,51.0,0.0,803.0,189.0,22285.0,194.0,23522.0,0.0846758502607206,,,,,0.8671881080239707,,0.9153241497392792,,,,,,,
07568,Boron,0,0,0,1,0,0,1,2,1,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,2698.0,885.0,63.0,12.0,197.0,77.0,952.0,512.0,1813.0,0.3280207561156412,,,,,0.3528539659006671,,0.6719792438843588,,,,,,,
07578,Boronda,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1351.0,159.0,0.0,0.0,0.0,153.0,1020.0,19.0,1192.0,,,,,,0.7549962990377498,,0.8823094004441154,,,,,,,
07652,Boulder Creek,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4632.0,3749.0,15.0,0.0,38.0,80.0,409.0,341.0,883.0,0.8093696027633851,,,,,,,,,,,,,,
08058,Brawley,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,27283.0,3030.0,110.0,0.0,69.0,511.0,23351.0,212.0,24253.0,0.1110581680900194,,,,,0.8558809515082653,,0.8889418319099806,,,,,,,
08100,Brea,0,0,0,0,0,2,0,2,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,47469.0,16810.0,17.0,15.0,777.0,13142.0,14197.0,2511.0,30659.0,0.3541258505550991,,,,0.276854368113927,0.2990793991868377,0.0528976805915439,0.6458741494449008,,,,,,,
08142,Brentwood,0,0,0,1,0,1,0,2,2,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,65208.0,27519.0,179.0,145.0,5020.0,10001.0,17700.0,4644.0,37689.0,0.4220187707029812,,,0.0769844190896822,0.1533707520549626,0.2714390872285609,0.0712182554287817,0.5779812292970188,,,,,,,
08172,Bret Harte,0,0,0,2,0,0,0,2,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,4757.0,163.0,0.0,0.0,16.0,11.0,4433.0,134.0,4594.0,,,,,,0.9318898465419382,,0.9657347067479504,,,,,,,
08786,Buena Park,0,0,2,1,0,0,0,3,3,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,100.0,82871.0,16610.0,8.0,428.0,1370.0,26635.0,34855.0,2965.0,66261.0,0.2004319967177903,,,0.0165317179713048,0.3214031446464988,0.4205934524743275,0.0357784991130793,0.7995680032822097,,,,,,,
08954,Burbank,0,0,0,4,0,0,2,6,4,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,66.66666666666666,104546.0,56610.0,173.0,60.0,4129.0,12021.0,25017.0,6536.0,47936.0,0.5414841313871406,,,0.0394945765500353,0.1149828783501999,0.2392917949993304,0.0625179346890364,0.4585158686128594,0.0,0.0,0.0,4.525722508694089,0.0,0.0,2.3618991989319094
08968,Burbank,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5333.0,1756.0,0.0,0.0,84.0,762.0,2134.0,597.0,3577.0,0.3292705794112132,,,,,0.400150009375586,,0.6707294205887868,,,,,,,
09310,Butte Creek Canyon,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,713.0,590.0,0.0,16.0,0.0,2.0,54.0,51.0,123.0,0.8274894810659187,,,,,,,,,,,,,,
09346,Byron,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1837.0,928.0,0.0,0.0,1.0,98.0,782.0,28.0,909.0,,,,,,0.4256940664126293,,0.4948285247686445,,,,,,,
